2026-02-21 23:15:33,031 INFO    MainThread:17 [wandb_setup.py:_flush():81] Current SDK version is 0.24.0
2026-02-21 23:15:33,032 INFO    MainThread:17 [wandb_setup.py:_flush():81] Configure stats pid to 17
2026-02-21 23:15:33,032 INFO    MainThread:17 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-21 23:15:33,032 INFO    MainThread:17 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /kaggle/working/wandb/offline-run-20260221_231533-hahu4ygj/logs/debug.log
2026-02-21 23:15:33,032 INFO    MainThread:17 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /kaggle/working/wandb/offline-run-20260221_231533-hahu4ygj/logs/debug-internal.log
2026-02-21 23:15:33,032 INFO    MainThread:17 [wandb_init.py:init():844] calling init triggers
2026-02-21 23:15:33,032 INFO    MainThread:17 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'approach': 'template_matching', 'n_structures': 5, 'n_templates': 5, 'interpolation': 'linear', 'n_train_structures': 5710, '_wandb': {}}
2026-02-21 23:15:33,032 INFO    MainThread:17 [wandb_init.py:init():892] starting backend
2026-02-21 23:15:33,860 INFO    MainThread:17 [wandb_init.py:init():895] sending inform_init request
2026-02-21 23:15:33,871 INFO    MainThread:17 [wandb_init.py:init():903] backend started and connected
2026-02-21 23:15:33,884 INFO    MainThread:17 [wandb_init.py:init():973] updated telemetry
2026-02-21 23:15:34,100 INFO    MainThread:17 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-21 23:15:34,106 INFO    MainThread:17 [wandb_init.py:init():1044] starting run threads in backend
2026-02-21 23:15:35,480 INFO    MainThread:17 [wandb_run.py:_console_start():2529] atexit reg
2026-02-21 23:15:35,480 INFO    MainThread:17 [wandb_run.py:_redirect():2377] redirect: wrap_raw
2026-02-21 23:15:35,480 INFO    MainThread:17 [wandb_run.py:_redirect():2446] Wrapping output streams.
2026-02-21 23:15:35,480 INFO    MainThread:17 [wandb_run.py:_redirect():2469] Redirects installed.
2026-02-21 23:15:35,489 INFO    MainThread:17 [wandb_init.py:init():1084] run started, returning control to user process
2026-02-21 23:15:35,926 INFO    MainThread:17 [wandb_run.py:_finish():2295] finishing run stanford-rna-3d-folding-2/hahu4ygj
2026-02-21 23:15:35,927 INFO    MainThread:17 [wandb_run.py:_atexit_cleanup():2494] got exitcode: 0
2026-02-21 23:15:35,927 INFO    MainThread:17 [wandb_run.py:_restore():2476] restore
2026-02-21 23:15:35,927 INFO    MainThread:17 [wandb_run.py:_restore():2482] restore done
